global_page,page_id,chunk_id,page_in_chunk,chars,nonempty,quality_flags,inventory_refs,dates_1920_1935,years_1920_1935,entities_exact,fuzzy_candidates,project_terms,doc_signals,review_tier,review_reasons,layer_warning,manual_note
14390,chunk_068:p0058,068,58,1920,True,,,,,Hornbostel,,,correspondence,A,research_signal;manual_review,False,Incoming Huizinga letter: Hornbostel/Stanford and tactical timing of De Gids article.
14391,chunk_068:p0059,068,59,1370,True,html_scaffolding_removed,,,,Hornbostel;Huizinga,,institution;musicology,addressed_to_huizinga;correspondence,A,kunst_musicology_institutional_chain;manual_review,False,Continuation/address material; Berlin/Hornbostel and Papaverhof.
14392,chunk_068:p0060,068,60,1249,True,,,,,Hornbostel;Huizinga;Van Erp;Westenenk,,musicology,addressed_to_huizinga;correspondence,A,kunst_musicology_institutional_chain;manual_review,False,Institutional chain: Van Erp -> Westenenk -> Koloniaal Instituut -> Minister/GG/Raad van Indie; tied to Huizinga's Gids article.
14393,chunk_068:p0061,068,61,836,True,html_scaffolding_removed,,,,,,,,B,manual_review,False,Working notes in HUI-071-2-31-000; review with adjacent pages.
14394,chunk_068:p0062,068,62,1398,True,,,,,,,,,B,manual_review,False,Working notes in HUI-071-2-31-000; music/culture and 31.x.27-style date notation.
14395,chunk_068:p0063,068,63,1225,True,html_scaffolding_removed,,,,,,,,B,manual_review,False,Working notes in HUI-071-2-31-000; open-letter/publication/music research notes.
14396,chunk_068:p0064,068,64,809,True,html_scaffolding_removed,,,1920,,,,,B,manual_review,False,Working notes in HUI-071-2-31-000; phonogram/institute/Stanford references.
14491,chunk_068:p0159,068,159,633,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
14540,chunk_068:p0208,068,208,2007,True,,,,,,,social_science,,C,research_signal,False,
14561,chunk_069:p0008,069,8,1625,True,,,,,,,social_science,,C,research_signal,False,
14646,chunk_069:p0093,069,93,223,True,,,,,,,social_science,,C,research_signal,False,
14699,chunk_069:p0146,069,146,1248,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
14722,chunk_069:p0169,069,169,154,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
14726,chunk_069:p0173,069,173,822,True,,,,,,,social_science,,C,research_signal,False,
14769,chunk_070:p0002,070,2,645,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
14802,chunk_070:p0035,070,35,176,True,,HUI-074-2-03-001,,,Huizinga,,,archive_header,B,archive_unit_boundary,False,
14805,chunk_070:p0038,070,38,176,True,,HUI-074-2-03-002,,,Huizinga,,,archive_header,B,archive_unit_boundary,False,
14808,chunk_070:p0041,070,41,176,True,,HUI-074-2-03-003,,,Huizinga,,,archive_header,B,archive_unit_boundary,False,
14811,chunk_070:p0044,070,44,176,True,,HUI-074-2-03-004,,,Huizinga,,,archive_header,B,archive_unit_boundary,False,
14861,chunk_070:p0094,070,94,1500,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
14867,chunk_070:p0100,070,100,1645,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
14900,chunk_070:p0133,070,133,972,True,html_scaffolding_removed,,,,,,anthropology,,C,research_signal,False,
14901,chunk_070:p0134,070,134,1223,True,,,,,,,social_science,,C,research_signal,False,
14938,chunk_070:p0171,070,171,2050,True,,,,,,,social_science,,C,research_signal,False,
14942,chunk_070:p0175,070,175,863,True,,,,1924,,,social_science,,C,research_signal,False,
15059,chunk_071:p0106,071,106,1248,True,,,,,,,anthropology,,C,research_signal,False,
15060,chunk_071:p0107,071,107,1318,True,,,,,,,anthropology,,C,research_signal,False,
15061,chunk_071:p0108,071,108,1339,True,,,,,,,anthropology,,C,research_signal,False,
